amfi_code,benchmark,alpha,beta,r_value,p_value,scheme_name,fund_house,plan
100016,NIFTY100,0.03747580763443281,-0.0582684314388089,-0.05162395469288772,0.08026442483699606,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Regular
100025,NIFTY100,0.042817920315060876,0.0011582183155281463,0.0038226747235208273,0.8970124515162724,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Regular
100033,NIFTY100,0.2719535450128533,0.0051035258305283104,0.0034736897724276083,0.9063691402409378,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Regular
101206,NIFTY100,0.21399784776051212,0.02108631625012803,0.0186560500393686,0.5275509209180677,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular
101207,NIFTY100,0.10897091901704538,-0.06528924788351524,-0.03262062650467128,0.26923382859979966,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular
101208,NIFTY100,0.060861457957871144,0.00026670968338238433,0.006787947905740904,0.8182140691419647,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular
102885,NIFTY100,0.17048756803412696,-0.019486785689474526,-0.019566560947423497,0.5075948866942019,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Regular
102886,NIFTY100,0.028969397866379445,-0.04212502902189432,-0.029940431861761083,0.31057770814660424,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Regular
102887,NIFTY100,0.16211256794033255,0.016682689437770827,0.013645206642938819,0.6440466770890053,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Regular
118632,NIFTY100,0.21829397904608644,-0.008353832126962021,-0.007610358907520613,0.7966457465470185,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Regular
118633,NIFTY100,0.15643835948169668,-0.03663900671860934,-0.033738623521246805,0.2531567885063235,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Direct
118634,NIFTY100,0.1750072167561127,0.1034966369133759,0.0528489031207491,0.07333892285784303,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Regular
118635,NIFTY100,0.1513635464823924,-0.001433521389780133,-0.0014231447211133668,0.9615666405413444,Nippon India ETF Nifty 50 BeES,Nippon India MF,Direct
118636,NIFTY100,0.05074772999976104,0.0012566742731558458,0.004064068443116177,0.8905486864137591,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Regular
119092,NIFTY100,0.0689952982167755,0.009730745001153637,0.008990349099901946,0.7608083592013819,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Regular
119093,NIFTY100,0.08232801295222093,0.02588321244009315,0.023857992560659565,0.4191212046285577,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Direct
119094,NIFTY100,0.2607666908004223,-0.06626542862803757,-0.04400998678664005,0.13598752352498472,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Regular
119095,NIFTY100,0.048015953637759554,-0.066951174639292,-0.03442614335717365,0.24360834209000354,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Regular
119120,NIFTY100,0.05620895216638369,-0.006413850728276477,-0.02083891389137172,0.48038566300028673,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Regular
119551,NIFTY100,0.23201007160635082,-0.03175144113890972,-0.029782190784633036,0.3131430272308455,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Regular
119552,NIFTY100,0.1986859936686296,-0.026159307513513405,-0.024188471850332807,0.4127055818020542,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Direct
119598,NIFTY100,0.3033696538698332,-0.023196062044059693,-0.011892256094922322,0.6871791461096047,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Regular
119599,NIFTY100,0.048824215945539845,0.06200180438267168,0.03202999426594698,0.27800396233826213,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Direct
120503,NIFTY100,0.17703302365844073,-0.0402689523698206,-0.037382410413613794,0.2054374518341153,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Regular
120504,NIFTY100,0.2119482701352573,0.016232169761417007,0.014565757472883948,0.6218551541356455,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Direct
120505,NIFTY100,0.2926358334175106,0.000549004250631712,0.00036681523517526977,0.990090235690614,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Regular
120506,NIFTY100,0.1625385327998104,0.04189646272811977,0.035455857214599595,0.22978488107543119,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Regular
120507,NIFTY100,0.06746210411099539,-0.0004440926329707234,-0.011589073060723997,0.6947484438507016,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Regular
120841,NIFTY100,0.13042924450705445,0.036356399022199795,0.0348047569467334,0.23845930871566381,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Regular
120842,NIFTY100,0.0780443887615508,0.01805687420811816,0.013005978947512702,0.6596465767530766,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Regular
120843,NIFTY100,0.27330465038306057,-0.02282956979242654,-0.01852172623475319,0.5305284121437438,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Regular
120844,NIFTY100,0.06455677495375998,-0.00040074423947840013,-0.010062522393650472,0.7333100820090805,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Regular
125497,NIFTY100,0.17729754927531766,0.04882040425957739,0.042897310851697436,0.1461759487459864,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Direct
125498,NIFTY100,0.11989100971217971,0.009054412621739154,0.0063590459611755,0.8295182110189219,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Direct
148567,NIFTY100,0.2698375144191807,0.023683558075848623,0.02150682893088576,0.46642651975427474,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Regular
148568,NIFTY100,0.20873010086942337,-0.026387719943843004,-0.0220437400474541,0.4553703178741986,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Regular
148569,NIFTY100,0.2827036785246582,0.018133884083859245,0.01322455540580838,0.6542952865906952,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Regular
149322,NIFTY100,0.13173190226099432,-0.004050271130006534,-0.00363697784992574,0.9019895024405024,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Regular
149323,NIFTY100,0.26598577542043045,-0.002523004664699247,-0.00183247870165218,0.9505247706268661,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Regular
149324,NIFTY100,0.3005787817097677,0.011455159960520708,0.005943896555960208,0.84049358918433,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Regular
