amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,cagr_1yr,cagr_3yr,cagr_5yr,annualized_return,annualized_volatility,sharpe_ratio_calc,sortino_ratio_calc,alpha,beta,max_drawdown,drawdown_start,drawdown_trough,aum_crore,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,max_dd_rank_inverse,fund_score,tracking_error
148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.46,0.20360678307711866,0.3400091602163293,0.2679927700697151,0.19345399235710925,0.12025007220633226,1.0682238272314732,1.4907389522947083,0.2698375144191807,0.023683558075848623,-0.11265729075028275,2023-07-11,2023-10-20,11361,0.975,1.0,0.85,0.45,0.825,86.25,0.1896636779215802
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.36,0.29604659337893646,0.317775371512347,0.2837676208804263,0.209245787807528,0.16331148626873557,0.883255618469884,1.2858427838168303,0.2926358334175106,0.000549004250631712,-0.18188513572116294,2024-10-24,2025-01-23,979,0.9,0.925,0.95,0.65,0.4,82.875,0.2319675096004632
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.45,0.26657081760850154,0.2958277033726251,0.2674249401072899,0.19490975224138804,0.13454333708270202,0.9655606517440118,1.4795034584167763,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,2022-03-07,2022-04-13,35012,0.85,0.975,0.9,0.475,0.7,82.0,0.20642496841144062
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,0.5323239623092084,0.32442459421956116,0.260740682788986,0.19455820981566938,0.16029119278668055,0.8082678003905592,1.1442164603950202,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,2022-03-11,2022-05-12,23185,0.925,0.85,0.875,0.6,0.525,80.75,0.22869942052083106
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.8,0.13064279264417977,0.3248742855621496,0.20234028033314222,0.15189944144183365,0.12159171405589163,0.7146822636441238,1.0639638792991954,0.2119482701352573,0.016232169761417007,-0.12588275606922517,2022-10-04,2023-05-30,41553,0.95,0.75,0.7,0.725,0.725,79.375,0.1915870037972257
119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.18498961473769387,0.1642463139678321,0.7305467735561727,1.0552844773147765,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,2022-04-14,2022-08-11,28996,1.0,0.8,0.8,0.6,0.325,78.25,
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.54,0.6043734071403091,0.3045652442030289,0.22384873172214603,0.16518798671520765,0.11636541830220329,0.8609773262277756,1.2914833497690066,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,2023-08-24,2024-02-05,14288,0.875,0.9,0.775,0.2625,0.6,74.1875,
148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,1.6,0.3975176148971702,0.2917890157839378,0.2762985997578453,0.20253117366629514,0.1496454949053764,0.919046535635828,1.3528150221233655,0.2827036785246582,0.018133884083859245,-0.1639674294693263,2023-08-10,2023-10-20,2989,0.825,0.95,0.925,0.1125,0.5,73.6875,
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,1.43,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.21639807381226878,0.21273031336024348,0.7116901743847245,1.0672557743438265,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,2024-08-28,2025-05-14,19259,0.725,0.7,1.0,0.5,0.125,68.0,
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.6,0.4792412023860102,0.2896769452874166,0.20442729550832484,0.15347166831278516,0.12332110247769963,0.717408995989017,1.06390859680118,0.21399784776051212,0.02108631625012803,-0.11291596329323073,2023-04-24,2023-07-05,23500,0.8,0.775,0.725,0.1125,0.8,67.56249999999999,
149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.52,0.6513871892998797,0.27000426614519246,0.2791743018490922,0.21516489311995682,0.2101908465972875,0.7144216579881013,1.0309617308730283,0.3005787817097677,0.011455159960520708,-0.31171900300634214,2024-05-03,2025-01-03,35124,0.775,0.725,0.975,0.3625,0.1,67.31249999999999,
149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.61,0.21481222193726257,0.268699908289022,0.256118065778393,0.19012349884465204,0.1502289807114623,0.8328852279505966,1.167793379907482,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,2022-06-06,2022-10-24,37835,0.75,0.875,0.825,0.075,0.475,66.75,
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.51,0.339810484550213,0.22652359830098634,0.2088111809083788,0.15589574179989107,0.11978074493866073,0.7588510310771438,1.0988795112458636,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,2024-01-02,2024-07-19,20909,0.675,0.825,0.75,0.4125,0.45,66.56250000000001,
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.66,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.14148439472812366,0.11798750618901818,0.6482414723266905,0.9265632920561695,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,2024-05-21,2024-09-02,1231,0.45,0.675,0.65,0.925,0.75,64.75,
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.92,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.12784118487243204,0.12412510324744544,0.5062729716095954,0.7347975997481632,0.17729754927531766,0.04882040425957739,-0.15200013055606398,2023-12-22,2025-01-01,10611,0.55,0.575,0.625,0.675,0.575,59.24999999999999,
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,0.72,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.11104692725419561,0.11842466866302143,0.3888288460001742,0.5886328565297931,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,2023-10-30,2024-02-29,39475,0.65,0.5,0.475,0.8875,0.375,58.56249999999999,
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,0.89,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.10819292907873196,0.10985306633798696,0.3931881969124055,0.5694261625753935,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,2022-01-03,2022-06-09,20284,0.6,0.525,0.45,0.7,0.775,58.37500000000001,
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,1.57,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.12146939540005637,0.1086373712116601,0.5197971450361778,0.7729719235511074,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,2022-02-03,2022-03-29,7350,0.575,0.625,0.55,0.175,0.85,54.99999999999999,
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.42,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.12569219372774595,0.11749520419593236,0.5165503915082101,0.7329158023031636,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,2023-09-19,2023-11-09,36022,0.4,0.6,0.6,0.525,0.675,53.625,
148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,1.52,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.14866087533335284,0.1305827825255206,0.6406730942266641,0.9557671943813262,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,2023-09-05,2024-01-24,49046,0.425,0.65,0.675,0.3625,0.55,53.43750000000001,
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,1.41,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.1171362158251039,0.1288537355031303,0.40461547832920475,0.5781364061026487,0.1625385327998104,0.04189646272811977,-0.1982565826298267,2023-03-31,2023-08-14,2571,0.525,0.55,0.525,0.55,0.35,51.75000000000001,
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.75,0.197667410165155,0.20816771175535864,0.06917406025598449,0.05943367191060252,0.1182482043206589,-0.04707325681075906,-0.06789981210009577,0.08232801295222093,0.02588321244009315,-0.21751396370148224,2022-02-24,2023-05-22,15866,0.625,0.325,0.325,0.825,0.25,48.25,
